Step,Section,Action / Field,Value to Paste,Notes
134,Verify Build,Confirm ad set 1 exists,AS1 — Manual Core — Homeowner 35-65 (Off) — 10/day,
135,Verify Build,Confirm ad set 2 exists,AS2 — Advantage+ — Homeowner 35-65 (Off) — 10/day,
136,Verify Build,"Confirm 4 ads exist, all Off","AS1 Problem+Process, AS2 Problem(control)+Urgency",Each shows correct image thumbnail
137,Verify Build,Click into any ad → use Preview pane (right side),,Check Feed / Reels / Stories previews all render
138,Verify Build,Click preview URL → confirm UTMs land correctly,,e.g. AS1 Ad 1 preview should load ?utm_content=m-as1-v1-problem
139,UTM Test,Open incognito browser tab,,Fresh cookie state
140,UTM Test,Paste this URL and submit one test lead,https://www.cwdeckbuilders.com/get-a-quote?utm_source=meta&utm_medium=cpc&utm_campaign=launch-2026-04&utm_content=m-as1-v1-problem,"Use test data — name 'TEST META 2026-04-23', real phone you control"
141,UTM Test,Check Meta Events Manager → CWDB Pixel → Test Events,Lead event fires within 60 sec,Confirms Pixel attribution works
142,UTM Test,Check GA4 DebugView,form_submit_quote with utm_source=meta,Confirms GA4 attribution works
143,UTM Test,Check email inbox,Lead email at slogarjw@gmail.com,Confirms form-to-email path works for Meta too
144,Go Live,Flip all 4 ads from Off to On,,Bulk-select ads + toggle all at once if possible
145,Go Live,Flip AS1 ad set from Off to On,,
146,Go Live,Flip AS2 ad set from Off to On,,
147,Go Live,Flip campaign from Off to On,,Meta is live — log timestamp
